id,code,first_name,second_name,team_id,team_code,team_name
321,246301,Jorge,Cuenca Barreno,10,54,Fulham
322,167074,Kenny,Tete,10,54,Fulham
323,591385,Samuel,Amissah,10,54,Fulham
324,153133,Alex,Iwobi,10,54,Fulham
325,209289,Emile,Smith Rowe,10,54,Fulham
327,156689,Andreas,Hoelgebaum Pereira,10,54,Fulham
328,184349,Ryan,Sessegnon,10,54,Fulham
329,153682,Harry,Wilson,10,54,Fulham
330,207189,Sander,Berge,10,54,Fulham
331,76357,Tom,Cairney,10,54,Fulham
332,212314,Saša,Lukić,10,54,Fulham
333,573062,Martial,Godo,10,54,Fulham
334,515024,Luke,Harris,10,54,Fulham
335,577725,Josh,King,10,54,Fulham
336,153366,Harrison,Reed,10,54,Fulham
337,102057,Raúl,Jiménez Rodríguez,10,54,Fulham
338,244042,Rodrigo,Muniz Carvalho,10,54,Fulham
424,477555,Oscar,Bobb,10,54,Fulham
664,86873,Benjamin,Lecomte,10,54,Fulham
727,218328,Samuel,Chukwueze,10,54,Fulham
731,560552,Kevin,Santos Lopes de Macedo,10,54,Fulham
737,631786,Jonah,Kusi-Asare,10,54,Fulham
770,619536,Seth,Ridgeon,10,54,Fulham
786,505079,Alfie,McNally,10,54,Fulham
168,536916,Facundo,Buonanotte,11,2,Leeds
339,437495,Illan,Meslier,11,2,Leeds
340,97846,Alex,Cairns,11,2,Leeds
341,59735,Karl,Darlow,11,2,Leeds
342,226182,Jayden,Bogle,11,2,Leeds
343,222694,Pascal,Struijk,11,2,Leeds
344,434752,Jaka,Bijol,11,2,Leeds
345,437738,Sebastiaan,Bornauw,11,2,Leeds
346,113564,Sam,Byram,11,2,Leeds
347,243526,Gabriel,Gudmundsson,11,2,Leeds
348,214225,Joe,Rodon,11,2,Leeds
349,492368,Isaac,Schmidt,11,2,Leeds
350,427637,Brenden,Aaronson,11,2,Leeds
351,492859,Wilfried,Gnonto,11,2,Leeds
352,221399,Jack,Harrison,11,2,Leeds
353,200617,Daniel,James,11,2,Leeds
354,199598,Ethan,Ampadu,11,2,Leeds
355,248937,Sam,Greenwood,11,2,Leeds
356,486520,Ilia,Gruev,11,2,Leeds
357,433952,Largie,Ramazani,11,2,Leeds
358,248056,Tanaka,Ao,11,2,Leeds
359,536119,Charlie,Crew,11,2,Leeds
